Gene stable ID	Gene type
YFL004W	protein_coding
YDR369C	protein_coding
YGL090W	protein_coding
YLR297W	protein_coding
YDR094W	protein_coding
YNL027W	protein_coding
YAL064C-A	protein_coding
YJL083W	protein_coding
YKL171W	protein_coding
YOR353C	protein_coding
YJR132W	protein_coding
YLR255C	protein_coding
YMR013W-A	protein_coding
YNL144W-A	protein_coding
YPL060W	protein_coding
YNL333W	protein_coding
YCL038C	protein_coding
YBL035C	protein_coding
YJL092W	protein_coding
YGL010W	protein_coding
tI(GAU)Q	tRNA
YML076C	protein_coding
YDR379W	protein_coding
YDL029W	protein_coding
tT(UGU)H	tRNA
YDR205W	protein_coding
YJL031C	protein_coding
YLR016C	protein_coding
YOL116W	protein_coding
YGR019W	protein_coding
YKL096C-B	protein_coding
YMR137C	protein_coding
YLR034C	protein_coding
YOL041C	protein_coding
YDL198C	protein_coding
YPR076W	protein_coding
tS(AGA)J	tRNA
YHR118C	protein_coding
YJL097W	protein_coding
YDL120W	protein_coding
YLR292C	protein_coding
YPR170W-B	protein_coding
YKR091W	protein_coding
YPR016C	protein_coding
YNL103W	protein_coding
YAL012W	protein_coding
YJL148W	protein_coding
YER039C-A	protein_coding
YKL162C-A	protein_coding
YDR421W	protein_coding
YGL051W	protein_coding
YER058W	protein_coding
YNL243W	protein_coding
YGL220W	protein_coding
YDL186W	protein_coding
YER110C	protein_coding
YLL027W	protein_coding
YER135C	protein_coding
YOL060C	protein_coding
YCL051W	protein_coding
YBL049W	protein_coding
YOL102C	protein_coding
YGR065C	protein_coding
YMR292W	protein_coding
YBL021C	protein_coding
YPR026W	protein_coding
YLR421C	protein_coding
YHR054W-A	protein_coding
tY(GUA)J2	tRNA
YPR154W	protein_coding
YAL058W	protein_coding
YDR119W-A	protein_coding
YJR055W	protein_coding
YMR273C	protein_coding
YHL008C	protein_coding
YNL212W	protein_coding
YDR429C	protein_coding
YCL027W	protein_coding
YCR030C	protein_coding
YGR048W	protein_coding
YPL249C	protein_coding
YLR165C	protein_coding
YDR220C	protein_coding
